uFastC,uSlowC,uNecroC,pFastC,pSlowC,pNecroC,livingMicrobeC,uFastN,uSlowN,uNecroN,pFastN,pSlowN,pNecroN,inorganicN,CO2,livingMicrobeN
6.41345E-06,0.000103131,8.608E-07,0.000198303,1.65846E-05,0.000388455,5.84919E-06,3.26086E-07,5.2436E-06,4.37665E-08,2.07723E-05,1.73724E-06,4.06908E-05,6.13E-07,0,9.58883E-07
1.0841E-05,0.000174328,1.45505E-06,0.000221253,1.85039E-05,0.000433411,7.04601E-06,3.49671E-07,5.62287E-06,4.69321E-08,2.18326E-05,1.82592E-06,4.27678E-05,6.95E-07,0,1.15508E-06
6.41345E-06,0.000103131,8.608E-07,0.000198303,1.65846E-05,0.000388455,5.84919E-06,3.26086E-07,5.2436E-06,4.37665E-08,2.07723E-05,1.73724E-06,4.06908E-05,6.13E-07,0,9.58883E-07
1.0841E-05,0.000174328,1.45505E-06,0.000221253,1.85039E-05,0.000433411,7.04601E-06,3.49671E-07,5.62287E-06,4.69321E-08,2.18326E-05,1.82592E-06,4.27678E-05,6.95E-07,0,1.15508E-06
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
